active hours,date,location,steps,latitude,longitude
12am-12am,1/19/22,Tulane,"4,208",29.939567,-90.11833
9am-12 am,1/20,Room,"5,734",29.939567,-90.11833
10am- 12am,1/21,Room,"11,074",29.939567,-90.11833
12am-12pm,1/22,LBC food court,"4,734",29.939671,-90.12023
11am- 12 am,1/23,outside LBC,"17,957",29.940397,-90.122463
11am-12am,1/24,Nola Flora,"7,719",29.92456,-90.12748
12am- 11pm,1/25,Room,"6,930",29.939567,-90.11833
9am-12am,1/26,Sharp hallway,"11,376",29.939567,-90.11833
12am-12am,1/27,Room,"17,059",29.939567,-90.11833
9am-12am,1/28,Commons,"13,780",29.939977,-90.121388
12am-12am,1/29,Fair Grounds,"13,814",29.98206,-90.08022
12am-10pm,1/30,French Quarter,"10,368",29.961558,-90.061542
9am-12am,1/31,Dani's room,"12,951",29.939389,-90.118946
10am-11pm,2/1,commons,"4,208",29.940244,-90.121146
9am-10pm,2/2,zbt,"8,126",29.94086,-90.12421
10am-9pm,2/3,sharp bathroom,"4,883",29.939567,-90.11833
9am-10pm,2/4,commons,"6,920",29.940244,-90.121146
12pm-10pm,2/5,jolo,"7,505",29.94248,-90.12208
11am-12am,2/6,commons quad,"7,382",29.940356,-90.120001
