active hours,date,location,steps,latitude,longitude,image
12am-12am,1/19/22,Tulane,"4,208",29.939567,-90.11833,photo1
9am-12 am,1/20,Room,"5,734",29.939567,-90.11833,photo2
10am- 12am,1/21,,"11,074",29.939567,-90.11833,photo3
12am-12pm,1/22,LBC food court,"4,734",29.939671,-90.12023,photo4
11am- 12 am,1/23,outside LBC,"17,957",29.940397,-90.122463,photo5
11am-12am,1/24,Nola Flora,"7,719",29.92456,-90.12748,photo6
12am- 11pm,1/25,,"6,930",29.939567,-90.11833,photo7
9am-12am,1/26,Sharp hallway,"11,376",29.939567,-90.11833,photo8
12am-12am,1/27,Room,"17,059",29.939567,-90.11833,photo9
9am-12am,1/28,Outside Commons,"13,780",29.939977,-90.121388,photo10
12am-12am,1/29,Fair Grounds,"13,814",29.98206,-90.08022,photo11
12am-10pm,1/30,French Quarter,"10,368",29.961558,-90.061542,photo12
9am-12am,1/31,Dani's room,"12,951",29.939389,-90.118946,photo13
10am-11pm,2/1,Commons,"4,208",29.940244,-90.121146,photo14
9am-10pm,2/2,A Frat Home,"8,126",29.94086,-90.12421,photo15
10am-9pm,2/3,Sharp Bathroom,"4,883",29.939567,-90.11833,photo16
9am-10pm,2/4,,"6,920",29.940244,-90.121146,photo17
12pm-10pm,2/5,Jolo,"7,505",29.94248,-90.12208,photo18
11am-12am,2/6,Commons quad,"7,382",29.940356,-90.120001,photo19
9am-11pm,2/7,Party City,"8,519",30.00408,-90.15305,photo20
10am-11pm,2/8,The Fly,"10,035",29.92774,-90.12757,photo21
9am-12am,2/9,La Boulangerie,"14,001",29.920589,-90.103851,photo22
12am-12am,2/10,The Spotted Cat,"9,903",29.96409,-90.057709,photo23
9am-11pm,2/11,Audobon Park,"14,671",29.926223,-90.129872,photo24
11am-12am,2/12,Pi Phi House,"12,931",29.94094,-90.12313,photo25
1am-12am,2/13,The Court of Two Sisters,"10,385",29.95785976,-90.06539963,photo26
9am-9pm,2/14,Mohawk Street,"5,235",37.929192,-122.521668,photo27
10am-11pm,2/15,The Bayou,"7,957",29.895842,-90.157772,photo28
9am-11pm,2/16,Muriels ,"13,339",29.95864619,-90.0631932,photo29
10am-12am,2/17,Sofia,"9,739",29.94561335,-90.06982038,photo30
12am-12am,2/18,The Marigny Brasserie,"15,421",29.96450352,-90.05789565,photo31
1am-12am,2/19,Bella Ciao,"4,489",40.71898021,-73.99770284,photo32
